table_field1,table_field2,table_field3,div_content
关于陕西省长城认定的批复,文物保函[2012]946号,世界遗产,文物保函〔2012〕946号 陕西省文物局： 你局《关于报请认定陕西省长城遗产的请示》（陕文物字〔2011〕234号）收悉。在你局、相关市县文物主管部门和长城调查队员的艰苦努力下，陕西省圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织专家评审，现就陕西省长城提出认定意见如下： 一、认定你省长城分布于17个县、市、区，包括战国、隋、明等历史时期修筑或使用的长城墙体及附属设施，详见附表。其中： 战国秦长城东起神木县，经榆林市榆阳区、横山县、靖边县、志丹县，南迄吴起县。 战国魏长城分布于富县、黄陵县、宜君县、黄龙县、韩城市、合阳县、澄城县、大荔县、华阴市。 隋长城分布于神木县、靖边县、定边县。 明长城东起府谷县，经神木县、榆林市榆阳区、横山县、靖边县、吴起县，西迄定边县。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内的长城依法核定公布为省级文物保护单位。请你局报请陕西省人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（如居住址、砖瓦窑等），都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 陕西省长城认定表 国家文物局 二〇一二年五月十一日
关于青海省长城认定的批复,文物保函[2012]1000号,"行政审批,世界遗产",文物保函〔2012〕1000号 青海省文化和新闻出版厅： 你厅《关于报送长城认定资料的请示》（青文新物字[2011]81号）收悉。在你厅、相关市县文物主管部门和长城调查队员的艰苦努力下，青海省圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你厅报送的长城认定材料进行了审核修订，并请你厅对经专家审核修订的长城认定材料反馈了复核意见。我局经组织专家评审，现就青海省长城提出认定意见如下： 一、认定青海省明长城分布于12个县，详见附表。 明长城主线东起乐都县，西经互助土族自治县、大通回族土族自治县，向南经湟中县、西宁市城中区、湟源县，向东经平安县，止于民和回族土族自治县。还有数条各自独立的长城墙体或壕堑，分布在西宁市城北区、民和回族土族自治县、化隆回族自治县、乐都县、互助土族自治县、贵德县、门源回族自治县、湟中县、大通回族土族自治县。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你厅报请青海省人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（如土坑、题刻等），都是承载了重要历史信息的不可移动文物。请你厅协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 青海省长城认定表 国家文物局 二〇一二年五月十四日
关于北京市长城认定的批复,文物保函[2012]875号,世界遗产,文物保函〔2012〕875号 北京市文物局： 你局《关于北京段长城认定工作情况的报告》（京文物[2011]1580号）收悉。在你局、相关区县文物主管部门和长城调查队员的艰苦努力下，北京市圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织国内长城保护领域的权威专家评审，现就北京市长城提出认定意见如下： 一、认定北京市长城分布于6个区、县，包括北齐、明等历史时期修筑或使用的长城墙体及附属设施，详见附表。其中： 北齐长城东起平谷区，经密云县、怀柔区、延庆县、昌平区，西迄门头沟区。 明长城东起平谷区，经密云县、怀柔区、延庆县、昌平区，西迄门头沟区。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你局报请北京市人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（包括砖瓦窑、采石场、墓葬、冶铁遗址等）都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 北京市长城认定表 国家文物局 二〇一二年五月八日
关于河南省长城认定的批复,文物保函[2012]945号,"行政审批,世界遗产","文物保函〔2012〕945号 河南省文物局： 你局《关于长城认定情况的报告》（豫文物〔2011〕381号）收悉。在你局、相关市县文物主管部门和长城调查队员的艰苦努力下，河南省圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织专家评审，现就河南省长城提出认定意见如下： 一、认定河南省战国长城分布于11个县、市、区，详见附表。其中： 战国赵长城分布于卫辉市、辉县市、林州市、鹤壁市淇滨区。 战国魏长城分布于新密市。 战国楚长城北起鲁山县,经叶县、方城县、舞钢市、泌阳县，南迄桐柏县。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你局报请河南省人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（如居住址、碑碣等）都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 河南省长城认定表 国家文物局 二〇一二年五月十一日"
关于甘肃省长城认定的批复,文物保函[2012]941号,"行政审批,世界遗产",文物保函〔2012〕941号 甘肃省文物局： 你局《关于上报我省长城资源认定情况的报告》（甘文局发〔2011〕171号）收悉。在你局、相关市县文物主管部门和长城调查队员的艰苦努力下，甘肃省圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织专家评审，现就甘肃省长城提出认定意见如下： 一、认定甘肃省长城分布于38个县、市、区，包括战国、汉、明等历史时期修筑或使用的长城墙体及附属设施，详见附表。其中： 战国秦长城东起华池县，经环县、镇原县、静宁县、通渭县、陇西县、渭源县，西迄临洮县。 汉长城东起永登县，经天祝藏族自治县、古浪县、武威市凉州区、民勤县、金昌市金川区、永昌县、山丹县、张掖市甘州区、临泽县、高台县、金塔县、玉门市、瓜州县，西迄敦煌市。 明长城东起环县，经白银市平川区、靖远县、白银市白银区、景泰县、榆中县、皋兰县、兰州市城关区、七里河区、安宁区、西固区，永靖县、永登县、天祝藏族自治县、古浪县、武威市凉州区、民勤县、永昌县、金昌市金川区、山丹县、民乐县、张掖市甘州区、临泽县、肃南裕固族自治县、高台县、金塔县、酒泉市肃州区，西迄嘉峪关市。 暂不能确定时代的长城分布于古浪县。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你局报请甘肃省人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（如驿站、居住址、砖瓦窑、碑碣等），都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 甘肃省长城认定表 国家文物局 二〇一二年五月十一日
关于天津市长城认定的批复,文物保函[2012]943号,世界遗产,文物保函〔2012〕943号 天津市文物局： 你局《关于报请认定天津市长城资源的请示》（津文物[2011]53号）收悉。在你局、相关区县文物主管部门和长城调查队员的艰苦努力下，天津市圆满完成了长城资源田野调查工作，并在此基础上形成了长城认定材料。根据《长城保护条例》的规定，我局已组织有关专家对你局报送的长城认定材料进行了审核修订，并请你局对经专家审核修订的长城认定材料反馈了复核意见。我局经组织专家评审，现就天津市长城提出认定意见如下： 一、认定天津市明长城分布于蓟县，详见附表。 二、根据《长城保护条例》第九条的规定，长城所在地省、自治区、直辖市人民政府应当在国务院文物主管部门认定之日起1年内，将本行政区域内已认定的长城依法核定公布为省级文物保护单位。请你局报请天津市人民政府依法将已经我局认定但尚未核定公布为全国重点文物保护单位或者省级文物保护单位的长城公布为省级文物保护单位，并划定保护范围，作出标志说明，建立记录档案，设立专门机构或者专人负责管理，落实长城保护的各项基础工作。 三、经过长城资源调查登记并与长城防御体系相关的遗址遗迹（如居住址、烟灶、水井、水窖、火池等），都是承载了重要历史信息的不可移动文物。请你局协调、督促相关各级地方人民政府，进一步加强相关遗址遗迹的研究，按照其历史、艺术和科学价值，依据《中华人民共和国文物保护法》等有关法律法规，公布为相应级别的文物保护单位，并落实相关的保护管理工作。 此复。 附件： 天津市长城认定表 国家文物局 二〇一二年五月十一日
关于开展长城认定工作的通知,文物保函[2011]1159号,世界遗产,文物保函〔2011〕1159号 各有关省、自治区、直辖市文物局（文化厅）： 为贯彻落实《长城保护条例》的有关规定，加强长城保护基础工作，我局决定开展长城认定工作。现就有关事项通知如下： 一、自本通知发布之日起，已公布为全国重点文物保护单位或省级文物保护单位，并在长城资源调查中登记的墙体、城堡、关隘、烽火台、敌楼等各类长城遗产，我局均认定为长城。 二、各省级文物行政部门应当于2011年9月30日前，将本地区在长城资源调查中已登记，但尚未公布为全国重点文物保护单位或省级文物保护单位的长城遗产报请我局予以认定。 三、各省级文物行政部门申请认定长城，应当提交申请文件和附件（省级长城资源概述、长城资源认定申请表、已认定长城资源登记表）的纸质和电子版文件一式两份。其中，本通知第一条所指的已认定的长城遗产应当填写已认定长城资源登记表，本通知第二条所指的尚未认定的长城遗产应当填写长城资源认定申请表，省级长城资源概述中对申请认定和已认定的长城遗产应当分别予以详细说明，具体格式见本通知附件，并可从国家文物局网站 www.sach.gov.cn 下载格式电子文件。 四、两省（自治区、直辖市）交界处的长城由相关省级文物行政部门协商一致后报请认定；协商未能取得一致的，原则上由组织调查的省份报请认定，但不涉及相关长城遗产所有权和管辖权归属。 五、我局将（委托长城资源调查项目组）组织专家对长城认定申请文件和附件进行审核，确有必要的也可以组织现场审核。审核无误的长城遗产由我局予以认定并向社会公布。 专此。 国家文物局 二〇一一年六月七日
关于委托承办明长城数据发布活动的函,文物保函[2009]369号,世界遗产,文物保函〔2009〕369号 北京市文物局： 根据工作安排，国家文物局、国家测绘局将于2009年4月18日在北京举办明长城长度数据发布活动。经研究，拟将此项活动交由你局承办。请你局本着隆重、热烈、简朴的原则，组织专门人员和机构，高质量地承办好此次活动。随文拨付活动经费20万元，由你局包干使用，请专款专用，确保资金使用合理、安全。 专此函致。 国家文物局 二○○九年四月三日
关于德国电视二台摄制组拍摄长城的复函,办政函[2008]464号,文物法制建设,办政函〔2008〕464号 德国电视二台北京办事处： 你处关于拍摄有关文物的函收悉。经研究，我局同意该摄制组于2008年6月到7月拍摄北京司马台长城外景。在拍摄过程中请该摄制组严格服从文物管理人员安排，确保文物安全。 国家文物局 二○○八年六月三日
关于黄崖关段长城防雷工程立项的意见,文物督函[2015]1579号,"安全监管,行政审批",文物督函〔2015〕1579号 天津市文化广播影视局： 你局《关于天津蓟县黄崖关段长城防雷工程立项的请示》（津文广保〔2015〕9号）收悉。经研究，我局意见如下： 经核实，天津蓟县黄崖关段长城未被公布为全国重点文物保护单位范围，其防雷工程应按有关规定履行申报审批程序。 国家文物局 2015年04月24日
